"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"the_headspace","9 December 2023","It might just be me, but the older I get, the less able, or willing, I am to grapple with multiple apparently unconnected characters doing apparently unconnected things. Season 1 is great. A close-knit group of people surviving a monster outbreak in a single, claustrophobic environment, where (as the title suggests) home becomes somewhere strange and terrifying. Monsterization is closely linked to human desire. Every monster is unique, and almost sympathetic. But inevitably, the filmmakers decide to expand the storyline, go bigger, move outside those constraints. The Matrix did it. Countless zombie movies and shows have done it. But it rarely seems to work. Involving the military might seem logical, but it kills the uniqueness of the premise, and turns an intense, personal drama into yet another generic post-apocalyptic mess. Monsters look the same, hunt in packs, have no personal connection to the main characters. Lots (I mean lots) of guns. And by the end of season two, I have no idea what's going on. Like I said, that might be me, but I don't think so. It's as if they're throwing everything at the wall to see what sticks. Not much, I'm afraid. I really hope season 3 goes back to a smaller, more intense storyline, but I doubt it.","
            7/10
            "
"ayameofazuma","5 December 2023","I really liked season 1, but i can't even sit through season 2. It's fine to add some new characters, but this was like watching an entirely different show. There's too much military, but that's not as bad as the whole new cast of characters that I just find extremely boring. The season 1 cast is barely in it. I'm not sure if this is Netflix's fault or not, but their shows often go downhill in following seasons. They change too much for the worst. I have been fast forwarding a lot of season 2 because the dialogue is so boring I can't even focus on it. I'll probably eventually finish it just to see how it ends. But I will continue to fast forward a lot.","
            5/10
            "
"Clive_W","29 December 2020","Awesome bit of fun, if your looking for some kinda bonkers weird horror series to do with these demon-like monsters, this would be something to check out. The characters are enjoyable, fun, and silly. The story is much in the same vain, it's enjoyable, silly, fun, great horror, very reminiscent of Tokyo Gore Police. Soundtrack did make me chuckle, I wander how much ""Warriors"" by imagine dragon costed, we had a fun little bet going as to when it was going to be played. I can't wait for a second season!!!","
            8/10
            "
"andymhancock","13 January 2021","The story arc and plot are random and chaotic. Whatever seems to fit at the moment. The scene cuts were spasmodic. But it was engaging enough for me to watch to the end, even though I was debating whether to continue a few episodes in. Once I got use to the whatever-goes mentality, I could enjoy it.","
            7/10
            "
"fake_moviestar","21 December 2020","So this is definitely one of those shows that people will either love or hate. I feel like you get a pretty good idea of the tone, atmosphere, and direction right from the very first episode, so if you dislike the first episode then I would not continue watching.
Yes, the CGI isn't the best, but it's also not the worst I've seen either.
The core of this show is this group of random people in an apartment complex trying to survive a sudden monster apocalypse. It is gritty, dark, and somewhat confusing.All that being said, I really and unexpectedly loved this show. The weirdness of it intrigued me in the first episode, and by episode 3 I was fully hooked. The characters are really, really great and you can't help but root for them to survive. I loved the soundtrack, especially the use of Imagine Dragons ""Warrior."" I can't really explain why I loved this show so much, it was just this perfect combination of weird and exciting and gory that kept me completely immersed until the very last second. I really hope they give this a second season because there was a lot left unexplained!","
            8/10
            "
"HeIILu","7 December 2023","The first season was definitely worth watching. I'm trying to figure out why the 2nd season lost it all, as I fell inlove with the 1st season, but ended up finding nothing worth caring about in the 2nd.And as it turns out... The plot of this show was actually based on it's original webtoon. The 2nd season's storyline doesn't take place in the webtoon, as expected...It seems like the show was taken over by a whole different set of creators.During season 1, the monsters and their encounters were much more intense, captivating and so much more interesting. The whole setting was claustrophobic, and quite challenging in itself. It was all very suited for this imaginative horror show.... In season 2 that's what I was most disappointed about. It seemed like the monsters didn't belong in the same horrifying universe anymore, and they were no longer a major part of the story.Why shift so much focus onto constant drama between a variety of uninteresting, unlikeable, unbearable characters? It's frustrating how nobody is getting along. Everyone argues, slaps and punches each other. Never-ending bitterness, tension and moody whining through it all..? Liking someone apparently means being inlove with a person who doesn't care about your existence at all. Too many are simply heartlessly cruel, as well.What is there to love about the show, anymore? Is it just meant to get watched, not meant to be enjoyed?I'd recommend season 1, but to ignore that there's more episodes after. All we can do now is hope that season 3 might find it's way back and somehow remember how it was meant to entertain, or perhaps some of us should just go ahead and read the webtoon instead.","
            8/10
            "
"HorrorEnjoyer","27 December 2020","I was really impressed by the first few episodes, but series start to go down very quickly after that. It seemed like they've spent most of their budget on the first few episodes, because after that it's almost nothing but people sitting around, talking and crying. Lots and lots of crying. Newly introduced monster designs were crappy and sub part, in comparison to the beginning.I just hope, that if this show gets the second season, they'll get more money to bring in some new cool looking monster designs, rather than focusing on people fighting people, like they did as the season progressed.","
            7/10
            "
"hanalisss","30 November 2023","Sweet Home stands as a gripping testament to the power of the horror genre in Korean television, weaving a tale that is equal parts heart-wrenching and terrifying. With its intricate storytelling, well-developed characters, and stunning visuals, the series takes us on a rollercoaster ride of emotions while exploring the very essence of humanity in the face of monstrous adversity.Explores the complexities of human nature under extreme circumstances. The narrative unfolds as reclusive loner Cha Hyun-soo, portrayed with remarkable depth by Song Kang, finds himself thrust into a nightmarish scenario when his apartment complex turns into a breeding ground for monstrous creatures. From the outset, the series establishes a foreboding atmosphere, intensified by the hauntingly beautiful soundtrack that expertly complements the unfolding horror.Huge commitment to character development. As the residents of the apartment complex grapple with their worst fears manifesting into grotesque creatures, the series meticulously explores the humanity that persists within them. Each character is meticulously crafted, revealing layers of vulnerability, resilience, and darkness. Song Kang's portrayal of Cha Hyun-soo is a revelation, as he seamlessly transitions from a tormented soul to a reluctant hero, carrying the emotional weight of the narrative on his shoulders.The monsters aren't just physical entities; they are embodiments of the characters' inner demons. The creature design is both nightmarish and imaginative, adding a unique flavor to the horror genre. The CGI and practical effects are executed with such finesse that the monsters become an integral part of the narrative, heightening the stakes and intensifying the terror.The pacing of the series is commendable, balancing moments of intense horror with poignant character interactions. It doesn't rely solely on jump scares; instead, it crafts an atmosphere of dread that lingers, making every moment fraught with tension. The series isn't afraid to delve into psychological horror, exploring the darkest corners of the human mind as characters grapple with the consequences of their choices in the face of annihilation.Sweet Home also excels in its thematic exploration of survival and the blurred lines between humanity and monstrosity. It poses thought-provoking questions about the lengths individuals are willing to go to in order to survive, and the sacrifices they make along the way. The moral ambiguity of certain characters adds layers of complexity, making it challenging for us to pass easy judgments.Visually, the series is a feast for the eyes. The cinematography captures the eerie beauty of the decaying apartment complex and the gruesome transformations of its inhabitants. The juxtaposition of moments of quiet despair with frenetic action sequences creates a dynamic viewing experience.The series doesn't shy away from addressing societal issues either. Amidst the horror, it explores themes of isolation, trauma, and the resilience of the human spirit. It reflects the anxieties of the real world through its fictional narrative, making it a socially relevant piece of storytelling.This one is a triumph in the horror genre, pushing the boundaries of what can be achieved in Korean television. It weaves a narrative that is as emotionally resonant as it is terrifying, with stellar performances, masterful storytelling, and a visual aesthetic that leaves a lasting impression. For those seeking a thrilling and thought-provoking exploration of the human psyche in the face of unimaginable horrors, Sweet Home is a must-watch that transcends the confines of its genre.","
            10/10
            "
"kevin_robbins","3 May 2021","Sweet Home (2020) is a Korean horror television series available on Netflix. The storyline focuses on a virus outbreak that turns people into monsters. The storyline evolves around a group of survivors inside a residential high rise building while chaos takes place outside.The writing for this is very inconsistent. The first four episodes were out of this world A+ action and horror scenes. It was so fun. I thought this show was Amazing out of the gate. However, the storyline quickly shifts from the cool monsters to the humans hybrids and their conflicting feelings about the surviving humans. Overall this series had a lot of potential and falls apart halfway through. The series was a 10/10 through 4-5 episodes and then 3/10 the last 5 so I'd give this a 5.5/10.","
            6/10
            "
"Leofwine_draca","5 February 2021","SWEET HOME is a South Korean TV show from 2020 now available for viewing on Netflix. It's based on a 'web toon', whatever that is, and I went into it with a few reservations that were quickly blown away from the end of the first instalment. This ten-episode, hour long series explores the lives of a group of residents at a tower block who wake up one day to find the world destroyed and rampaging mutated monsters killing anyone who ventures out of doors. Even worse, some of their own are infected and in the process of becoming monsters themselves!Handsomely shot and mounted, this possesses all of the quality acting you expect from Korean cinema and television, and the realistically-drawn character portraits of people you don't always like or love but who ring true to life: the conflicted, suicidal teenager; the stroppy guitarist; the masculine firefighter; the scarred gangster with a talent for torture. Interesting character development is interspersed with outlandish action and fight scenes every episode as the dwindling characters encounter one nightmarish creation after another. The CGI effects aren't meant to be photorealistic but I grew to love them anyway as they fit the show's fantastic landscape. Twisty, turning, surprising and grisly, with a consistent quality from beginning to end, this might well be the TV show of the year.","
            8/10
            "
"anantox","19 December 2020","This is a really good show. A little different approach to the zombie theme but it's good. Don't listen to the haters . I have no idea why some people are rating this poorly. I binged the whole show and I didn't feel bored or tired at any point. Every episode was filled with thriller and excitement .","
            9/10
            "
"ferreiranazli","16 January 2021","It's good, but forgettable. Some much exciting parts, but there's much filler and long flashbacks that is not really necessary. Not anxious for a second season, but I'd watch.","
            7/10
            "
"chiaramariecapritta","1 December 2023","I'VE WAITED THREE YEARS JUST TO SEE JISOO CHARACTER DIE IN EPISODE THREE?!? SHE HAS LITERALLY 5 MINUTES OF SCREEN AND SAYS 3 LINE ARE YOU KIDDING ME?!?!I'm so angry to whoever did her character this wrong.Webtoon's fans didn't deserve this, Jisoo's fans didn't deserves this.Also they killed Ji-soo in episode three and five minutes later already introduce another female character. Eun-yoo basically replaced ji-soo as the female protagonist, while in the first season she was just a child now she's magically become this strong woman. NO. I WON'T ACCEPT THIS. I AM BEYOND ANGRY AT THE PRODUCERS AND THE WRITERS BEHIND THIS. The actress didn't have time to shoot? You put a scene where you give hope to people and maybe try to shoot more for season 3 AND GIVE HER CHARACTER THE ATTENTION SHE DESERVE.Honestly I don't even care what happens next, they had more money but some monsters are still awfully made, the intro sucks compared to the first one and the main themes were better in the first season, nothing can compare to WARRIORS by imagine dragons.I'm sorry but season one remains the best. This one is just too badly written.","
            6/10
            "
"themadcamel","19 December 2020","With some pretty terrifying cosmetics and fairly basic CGI, it does create some disturbing scenes akin to Evil Dead. But the plot is sadly ruined by a lot of nonsensical moments actions & reactions that are clearly only there to create tension. It's also oddly like every actor went to the same acting school and acquired an annoying prolonged lifeless gaze look as their reaction to basically everything.... Wondering what to have for dinner? ( Stare longingly into the fridge). Watching your neighbour get devoured by a hideous demon (stare longingly into neighbours intestines). Saving your friends from certain death by simply closing a door ( stare longingly at door handle) it's relentlessly like this from start to finish.","
            5/10
            "
"scottmannen1","26 January 2021","Season 1 was great, a novel and entertaining season. Season 2 however has a lot of what made S1 great now is missing.One of the biggest problems I have with the show is the protagonist. He turns half monster for the entire season, but other than the healing ability he is completely and I mean COMPLETELY useless compared to other monsters. The first problem is that he will not fight. He will stand there and take punches, hits, stabs cuts and wont lift a finger to fight back because he doesnt want to hurt people. Talk about ridiculous. On top of that they tried to give him some monster ""wings"" so that he can fly around with these monster wings on his back, but guess what""? They literally only gave him ONE wing on his back. You dont have to be an aerospace engineer to know that one big wing on only one side of your back wont work and shouldnt fly, but of course it somehow works. It looks ridiculous though. I am sure they thought it was going to look cooler than it did. All of those things really annoyed me about this season but what really got on my nerves the most was him crying. He is crying in every single episode he is in. Multiple times, and he cries and cries and cries. This is an adult man who is supposed to be a monster but instead cries like a baby all the time. They destroyed this character and had the chance to make a character that was cool powerful an strong yet we got this mess. What a disaster!!The entire second season is lackluster also in comparison to the first. The story is all over the place in S2 and bounces around a bit too much.Other than all that negative stuiff, the show IS still entertaining. Some of the monsters are interesting but the CGI this season was much worse than the first season. This season we got monsters that look like transformers made of garbage (they show up in a few episodes). They make the monsters move intentionally very fast so that the camera doesnt zoom in on how poor the cgi truly is this season. The is entertainment value to this show still!! Its not a terrible show, its just not great, I give it a 6/10 for season two and an 7.5/10 for season one.","
            6/10
            "
"infernoguyrules","6 December 2023","The first season was pretty cool, it wasn't my favorite show by any means and i thought it had a lot of problems as far as just kinda odd cartoonish character moments, but thats the thing is some of its best moments could have been described that way too, but when that applied to the drama rather than the action and horror, it took me out of certain moments, where things just seemed a bit childish and melodramatic. Darkness for its own sake. Still, i thought it had a unique world and i like the weird noticeable CG monsters that don't try to hard to look perfectly real, i find them more visually interesting than monsters in plenty of other series or movies i'd consider better overall. So season 1 got a 6 from me, and im a rather harsh reviewer. Season 2 however, went down the drain VERY quickly. I can't even describe how much happened in this season that i didn't care about. I made it through 3-4 episodes because there were some interesting monsters that held my interest and a few interesting moments with main characters. Around there i realized there was suddenly just a LOT going on that i did not care about at all, and i just felt i had to skip some scenes to get through, it was all these military guys just being dicks to eachother, very boring. I basically fast forwarded through the last half and the end seemed frankly stupid to me. Other reviews i checked out agreed that this was mostly just chaotic pointless filler, its wild to me they filmed a whole other season already as well, because this is BAD. Skip this one.","
            3/10
            "
"cakes_meyer","18 December 2020","I'm only on episode 3 but wow. This show is pretty dang great. I love the monster's and the characters. The music goes great with the intense fighting scenes. I have been excited for this sence I first watched the trailer.","
            9/10
            "
"TreeFiddy53","23 December 2020","The trailer had me hooked, and I was looking forward to this. The show is visually great, IMO. There's a decent amount of CGI that's hit/miss but various practical visual effects were done really well. The show is very colorful for almost 10 episodes of scenes trapped inside a building. The music was good too, minus the repetitive Imagine Dragons song. So if you like to enjoy stuff like that, give this a shot.
One of things that's a plus about Korean movies and shows in general is that they easily blend genres. They make you get so invested into the characters in thrillers/horrors that the genre also becomes emotional - in a good way. Sweet Home has A LOT of characters but it takes time to get invested. But since it's a tv show and since there were so many people, i think it's okay to consume that much time.
The monsters too, are very different from each other, unlike what we'd have seen in most zombie-type movies, they too had different personalities.
The story though, was a slight let-down for me, I personally found that there were inconsistencies which breaks the suspense/tension/sense of urgency. I felt that there were several questions that were left unanswered towards the end of the show, which was also a let down, but maybe that's just me. Will there be an S2? Will they answer all those questions? I don't know, and the show doesn't end in a way that would make me wait in anticipation for S2 and for those answers. I might not even watch it, answers or not.
But overall, something slightly different to watch. I thought that it was visually really good, great music/sound too! Watch this if you're bored and have nothing else to watch. 10 hours is a lot of commitment.","
            6/10
            "
"ekinagacik","20 December 2020","People who gave 1 point should finish the show. Honestly, at first I did not understand the subject because I haven't read the webtoon. I continued watching and the show really amazed me. It made me think about every single person's unknown inner world. One episode I hated one character and I was like die right now you are so annoying. In the other I cried for that character and prayed for him/her not to die. I loved watching them become a family. Character developments, understanding all of the characters' inner worlds step by step was amazing. In the beginning there was scenes about past and they are confusing I agree but you'll see that they are puzzle pieces and in the end they would complete the puzzle.","
            10/10
            "
"metron-63741","7 December 2023","The first season was really fun, it has some flaw moments, but very enjoyable monsters and great settings. So i was looking forward for another season, but the second season is a whole disappointment, the new characters are just annoying, they do one stupid and questionable things after another. There is too much military involved, it's just another action show, with no interesting plot, boring dialogues and characters. There are, again, some cool monsters, but that is not enough to maintain interest. If you loved the first season, skip this one. You will only be disappointed. Netflix seems to have lost interest.","
            1/10
            "
"cuku_d","9 January 2021","Visually impeccable the vibrant colors add a different feel, good storytelling and unique in many areas, also has things it can improve on so I'll keep it short and say I'm waiting on that on a 2nd season.","
            8/10
            "
"Otte1","31 December 2020","The story is addicting enough to make you want to know what happens at the end. There are some attempts at character development to provide some reasoning for the motivations. It is Return of the Living Dead, X-Men and the Mist.
There are many comments about the horrible CGI and it is true. The CGI was almost at a level of a talented teenager with a laptop and Adobe. Since the series has certain level of dark comedy, I was able to look past that. I was not able to look past that this 10-hour series could have very easily been a very good 2.5 hour movie. There was extremely amount of filler that did not provide any additional context to the move.Other big problem was editing which is the reasoning for my 4 stars. It is disjointed to say the least. It is almost like they taped entire scenes and then cut out the bloopers or mistakes and stitched together what was left with reshooting anything. There are many jumps, skips and entire characters appearing and not appearing and darkness that makes it hard to know what is going on(think Game of Thrones White Walker battle in Season 8). A five second action scene can have 15+ edits and you end up confused. Other big issue....the ending, I have no idea what happened in the last 15 minutes.For some people this may be a 7 or 8 star while for most 'adults' it will be 6 at best.","
            4/10
            "
"ue-53660","18 December 2020","I totally love South Korean films and cinematography, always technically innovative and unique. The series is visually stunning unfortunately the script is very disjointed almost difficult to follow and not very engaging. But it is a feast to watch.","
            5/10
            "
"Pratyush003","6 August 2023","Sweet Home is a chilling and captivating TV show that delivers a pulse-pounding horror experience like no other. With its gripping plot, compelling characters, and stunning visuals, this South Korean series is a true standout in the horror genre.From the very first episode, Sweet Home hooks you with its intriguing premise: a group of residents trapped in a high-rise apartment building that has become a nightmarish hunting ground for monstrous creatures. The storytelling is expertly crafted, creating an atmosphere of constant suspense and terror that keeps you glued to the screen.The cast delivers stellar performances, adding depth and authenticity to their characters. Their struggles and emotions feel palpable, making you deeply invested in their survival as they face unimaginable horrors.Sweet Home is not just a horror show; it explores complex themes of fear, loss, and the human will to survive. It delves into the darkness of the human psyche and the choices people make when confronted with extraordinary circumstances.Visually stunning and skillfully directed, the series immerses you in its terrifying world. The practical effects and creature designs are impressive, adding to the overall intensity and immersion.One of the show's strengths is its ability to evoke genuine fear and suspense. Each episode is filled with heart-pounding moments that leave you on the edge of your seat, anxious to see what happens next.In conclusion, Sweet Home is a horrifying and thrilling TV show that earns a resounding 10-star rating. With its spine-chilling plot, remarkable performances, and thought-provoking themes, it stands as a must-watch for horror enthusiasts and anyone seeking a gripping and adrenaline-pumping viewing experience. Get ready to be scared and thrilled in equal measure with this fantastic South Korean horror series.","
            10/10
            "
